"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","group_number"
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Aberdeen City","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.668,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Aberdeenshire","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.876,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Angus","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.87,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Argyll and Bute Islands","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.742,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Barking and Dagenham","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.032,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Barnet","time_period","2000 to 2005","zscore_category","Favourable",,,,,"2000 to 2005",1.4,,,,"z-score",,6
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Barnsley","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.403,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bath and North East Somerset","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.173,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bedford","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.026,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bexley","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.792,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Birmingham","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.289,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Blackburn with Darwen","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.671,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Blackpool","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.645,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Blaenau Gwent","time_period","2000 to 2005","zscore_category","Unfavourable",,,,,"2000 to 2005",-1.162,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bolton","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.211,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bournemouth, Christchurch and Poole","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.089,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bracknell Forest","time_period","2000 to 2005","zscore_category","Favourable",,,,,"2000 to 2005",1.498,,,,"z-score",,6
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bradford","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.641,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Brent","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.645,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bridgend","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.961,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Brighton and Hove","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.205,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bristol, City of","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.803,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bromley","time_period","2000 to 2005","zscore_category","Most Favourable",,,,,"2000 to 2005",1.646,,,,"z-score",,7
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Buckinghamshire","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.565,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Bury","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.328,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Caerphilly","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.949,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Calderdale","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.273,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cambridgeshire CC","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.745,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Camden and City of London","time_period","2000 to 2005","zscore_category","Most Favourable",,,,,"2000 to 2005",2.184,,,,"z-score",,7
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cardiff","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.567,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Carmarthenshire","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.99,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Central Bedfordshire","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.571,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Ceredigion","time_period","2000 to 2005","zscore_category","Unfavourable",,,,,"2000 to 2005",-1.309,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cheshire East","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.381,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cheshire West and Chester","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.365,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","City of Edinburgh","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.956,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Clackmannanshire","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.579,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Conwy","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.957,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cornwall and Isles of Scilly","time_period","2000 to 2005","zscore_category","Unfavourable",,,,,"2000 to 2005",-1.251,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Coventry","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.261,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Croydon","time_period","2000 to 2005","zscore_category","Favourable",,,,,"2000 to 2005",1.034,,,,"z-score",,6
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Cumbria","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.879,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Darlington","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.816,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Denbighshire","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.753,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Derby","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.107,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Derbyshire","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.665,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Devon CC","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.487,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Doncaster","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.614,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Dorset","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.574,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Dudley","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.099,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Dumfries and Galloway","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.957,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Dundee City","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.985,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Durham","time_period","2000 to 2005","zscore_category","Unfavourable",,,,,"2000 to 2005",-1.203,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Ealing","time_period","2000 to 2005","zscore_category","Favourable",,,,,"2000 to 2005",1.453,,,,"z-score",,6
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","East Ayrshire","time_period","2000 to 2005","zscore_category","Unfavourable",,,,,"2000 to 2005",-1.002,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","East Dunbartonshire","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.271,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","East Lothian","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.799,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","East Renfrewshire","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.532,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","East Riding of Yorkshire","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.708,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","East Sussex CC","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.498,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Enfield","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.57,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Essex","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.872,,,,"z-score",,5
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Falkirk","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.222,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Fife","time_period","2000 to 2005","zscore_category","Lower Middling",,,,,"2000 to 2005",-0.732,,,,"z-score",,3
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Flintshire","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.179,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Gateshead","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.17,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Glasgow City","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",0.119,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Gloucestershire CC","time_period","2000 to 2005","zscore_category","Middling",,,,,"2000 to 2005",-0.122,,,,"z-score",,4
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Greenwich","time_period","2000 to 2005","zscore_category","Favourable",,,,,"2000 to 2005",1.113,,,,"z-score",,6
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Gwynedd","time_period","2000 to 2005","zscore_category","Unfavourable",,,,,"2000 to 2005",-1.048,,,,"z-score",,2
"ci2","Labour Market Outcomes","composite_index",,"Local Authority","Hackney","time_period","2000 to 2005","zscore_category","Upper Middling",,,,,"2000 to 2005",0.605,,,,"z-score",,5
