"Region","Difference compared to average"
"Bedfordshire and Hertfordshire",1.551
"Berkshire, Buckinghamshire and Oxfordshire",0.207
"Cheshire",3.015
"Cornwall and Isles of Scilly",-0.814
"Cumbria",1.256
"Derbyshire and Nottinghamshire",1.111
"Devon",1.19
"Dorset and Somerset",0.44
"East Anglia",1.175
"East Wales",-1.203
"East Yorkshire and Northern Lincolnshire",1.758
"Eastern Scotland",-0.369
"Essex",1.124
"Gloucestershire, Wiltshire and Bath/Bristol area",2.344
"Greater Manchester",-3.187
"Hampshire and Isle of Wight",0.114
"Herefordshire, Worcestershire and Warwickshire",0.242
"Highlands and Islands",-5.807
"Inner London - East",-1.387
"Inner London - West",0.674
"Kent",-1.455
"Lancashire",0.956
"Leicestershire, Rutland and Northamptonshire",0.159
"Lincolnshire",0.205
"Merseyside",-2.66
"North Eastern Scotland",2.756
"North Yorkshire",1.686
"Northern Ireland",-3.096
"Northumberland, and Tyne and Wear",-1.368
"Outer London - East and North East",3.638
"Outer London - South",-2.248
"Outer London - West and North West",2.301
"Shropshire and Staffordshire",1.593
"South Yorkshire",-3.144
"Southern Scotland",-0.088
"Surrey, East and West Sussex",1.362
"Tees Valley and Durham",0.924
"West Central Scotland",-2.403
"West Midlands",0.897
"West Wales and The Valleys",-2.223
"West Yorkshire",-1.223
