Year,Employment (%),Education (including apprenticeships and work-based learning) (%),Other training (%),"Not in employment, education or training (%)"
2022,8.057200535,78.69351859,4.853248378,8.396032502
2021,8.584878829,79.55575203,4.809855503,7.049513635
2020,7.379999298,81.01975885,4.48293818,7.117303674
2019,7.466351522,81.40255725,4.552295121,6.578796102
2018,7.722677072,81.38672704,4.702959699,6.187636186
2017,7.769467332,81.58299694,4.789727713,5.857808011
2016,7.104103509,82.182574,4.871616318,5.841706175
2015,6.785959067,82.26223895,4.763510743,6.188291236
2014,6.118375561,82.40419181,4.44397057,7.033462064
2013,6.676770705,81.82639705,4.245365655,7.251466592
2012,7.055530225,79.787264,4.271565614,8.885640163
2011,6.796214776,79.49378268,3.956200465,9.753802082
