"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window","background_label"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","profession","Lower working",,,"2014 to 2024",20.951,18.356,23.721,895,"Average","3-year moving average","2014 to 2016","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","profession","Lower working",,,"2014 to 2024",18.9,16.444,21.656,842,"Average","3-year moving average","2015 to 2017","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","profession","Lower working",,,"2014 to 2024",18.644,16.139,21.428,775,"Average","3-year moving average","2016 to 2018","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","profession","Lower working",,,"2014 to 2024",16.964,14.619,19.688,762,"Average","3-year moving average","2017 to 2019","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","profession","Lower working",,,"2014 to 2024",16.703,14.32,19.48,653,"Average","3-year moving average","2018 to 2020","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","profession","Lower working",,,"2014 to 2024",17.031,14.59,19.751,642,"Average","3-year moving average","2019 to 2021","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","profession","Lower working",,,"2014 to 2024",18.519,15.929,21.354,550,"Average","3-year moving average","2020 to 2022","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","profession","Lower working",,,"2014 to 2024",19.175,16.483,22.03,490,"Average","3-year moving average","2021 to 2023","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","profession","Lower working",,,"2014 to 2024",18.082,15.55,20.987,425,"Average","3-year moving average","2022 to 2024","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","profession","Higher working",,,"2014 to 2024",21.385,18.77,24.175,895,"Average","3-year moving average","2014 to 2016","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","profession","Higher working",,,"2014 to 2024",22.096,19.487,25.002,842,"Average","3-year moving average","2015 to 2017","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","profession","Higher working",,,"2014 to 2024",23.438,20.723,26.466,775,"Average","3-year moving average","2016 to 2018","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","profession","Higher working",,,"2014 to 2024",23.185,20.413,26.084,762,"Average","3-year moving average","2017 to 2019","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","profession","Higher working",,,"2014 to 2024",21.754,19.024,24.707,653,"Average","3-year moving average","2018 to 2020","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","profession","Higher working",,,"2014 to 2024",18.283,15.802,21.109,642,"Average","3-year moving average","2019 to 2021","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","profession","Higher working",,,"2014 to 2024",15.705,13.31,18.403,550,"Average","3-year moving average","2020 to 2022","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","profession","Higher working",,,"2014 to 2024",14.349,12.08,17.05,490,"Average","3-year moving average","2021 to 2023","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","profession","Higher working",,,"2014 to 2024",14.841,12.54,17.578,425,"Average","3-year moving average","2022 to 2024","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","profession","Intermediate",,,"2014 to 2024",23.173,20.535,26.098,895,"Average","3-year moving average","2014 to 2016","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","profession","Intermediate",,,"2014 to 2024",22.844,20.225,25.806,842,"Average","3-year moving average","2015 to 2017","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","profession","Intermediate",,,"2014 to 2024",21.934,19.298,24.912,775,"Average","3-year moving average","2016 to 2018","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","profession","Intermediate",,,"2014 to 2024",22.889,20.196,25.848,762,"Average","3-year moving average","2017 to 2019","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","profession","Intermediate",,,"2014 to 2024",21.656,18.911,24.583,653,"Average","3-year moving average","2018 to 2020","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","profession","Intermediate",,,"2014 to 2024",21.674,19.02,24.667,642,"Average","3-year moving average","2019 to 2021","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","profession","Intermediate",,,"2014 to 2024",21.15,18.455,24.155,550,"Average","3-year moving average","2020 to 2022","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","profession","Intermediate",,,"2014 to 2024",20.65,17.888,23.589,490,"Average","3-year moving average","2021 to 2023","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","profession","Intermediate",,,"2014 to 2024",21.049,18.357,24.107,425,"Average","3-year moving average","2022 to 2024","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","profession","Lower professional",,,"2014 to 2024",24.816,22.098,27.789,895,"Average","3-year moving average","2014 to 2016","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","profession","Lower professional",,,"2014 to 2024",25.865,23.083,28.895,842,"Average","3-year moving average","2015 to 2017","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","profession","Lower professional",,,"2014 to 2024",25.411,22.594,28.49,775,"Average","3-year moving average","2016 to 2018","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","profession","Lower professional",,,"2014 to 2024",25.288,22.472,28.313,762,"Average","3-year moving average","2017 to 2019","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","profession","Lower professional",,,"2014 to 2024",26.565,23.673,29.751,653,"Average","3-year moving average","2018 to 2020","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","profession","Lower professional",,,"2014 to 2024",27.578,24.63,30.739,642,"Average","3-year moving average","2019 to 2021","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","profession","Lower professional",,,"2014 to 2024",26.802,23.792,29.956,550,"Average","3-year moving average","2020 to 2022","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","profession","Lower professional",,,"2014 to 2024",27.007,24.035,30.281,490,"Average","3-year moving average","2021 to 2023","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","profession","Lower professional",,,"2014 to 2024",26.766,23.797,30.025,425,"Average","3-year moving average","2022 to 2024","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","profession","Higher professional",,,"2014 to 2024",9.676,7.896,11.839,895,"Average","3-year moving average","2014 to 2016","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","profession","Higher professional",,,"2014 to 2024",10.295,8.422,12.499,842,"Average","3-year moving average","2015 to 2017","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","profession","Higher professional",,,"2014 to 2024",10.573,8.659,12.871,775,"Average","3-year moving average","2016 to 2018","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","profession","Higher professional",,,"2014 to 2024",11.674,9.671,14.026,762,"Average","3-year moving average","2017 to 2019","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","profession","Higher professional",,,"2014 to 2024",13.323,11.119,15.826,653,"Average","3-year moving average","2018 to 2020","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","profession","Higher professional",,,"2014 to 2024",15.434,13.055,18.015,642,"Average","3-year moving average","2019 to 2021","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","profession","Higher professional",,,"2014 to 2024",17.823,15.358,20.714,550,"Average","3-year moving average","2020 to 2022","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","profession","Higher professional",,,"2014 to 2024",18.819,16.25,21.77,490,"Average","3-year moving average","2021 to 2023","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","profession","Higher professional",,,"2014 to 2024",19.262,16.6,22.16,425,"Average","3-year moving average","2022 to 2024","Intermediate background"
