"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window","background_label"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher professional","profession","Lower working",,,"2014 to 2024",13.883,11.243,16.902,561,"Average","3-year moving average","2014 to 2016","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher professional","profession","Lower working",,,"2014 to 2024",13.682,11.245,16.636,579,"Average","3-year moving average","2015 to 2017","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher professional","profession","Lower working",,,"2014 to 2024",12.432,10.113,15.251,561,"Average","3-year moving average","2016 to 2018","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher professional","profession","Lower working",,,"2014 to 2024",11.325,9.162,13.998,574,"Average","3-year moving average","2017 to 2019","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher professional","profession","Lower working",,,"2014 to 2024",10.833,8.708,13.358,528,"Average","3-year moving average","2018 to 2020","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher professional","profession","Lower working",,,"2014 to 2024",11.374,9.291,13.942,545,"Average","3-year moving average","2019 to 2021","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher professional","profession","Lower working",,,"2014 to 2024",12.022,9.849,14.593,498,"Average","3-year moving average","2020 to 2022","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher professional","profession","Lower working",,,"2014 to 2024",12.988,10.688,15.702,426,"Average","3-year moving average","2021 to 2023","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher professional","profession","Lower working",,,"2014 to 2024",13.685,11.233,16.446,357,"Average","3-year moving average","2022 to 2024","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher professional","profession","Higher working",,,"2014 to 2024",13.736,11.093,16.725,561,"Average","3-year moving average","2014 to 2016","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher professional","profession","Higher working",,,"2014 to 2024",14.092,11.521,16.959,579,"Average","3-year moving average","2015 to 2017","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher professional","profession","Higher working",,,"2014 to 2024",13.722,11.331,16.687,561,"Average","3-year moving average","2016 to 2018","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher professional","profession","Higher working",,,"2014 to 2024",11.796,9.548,14.459,574,"Average","3-year moving average","2017 to 2019","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher professional","profession","Higher working",,,"2014 to 2024",11.059,8.956,13.655,528,"Average","3-year moving average","2018 to 2020","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher professional","profession","Higher working",,,"2014 to 2024",10.232,8.22,12.663,545,"Average","3-year moving average","2019 to 2021","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher professional","profession","Higher working",,,"2014 to 2024",9.601,7.599,11.903,498,"Average","3-year moving average","2020 to 2022","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher professional","profession","Higher working",,,"2014 to 2024",7.691,5.886,9.894,426,"Average","3-year moving average","2021 to 2023","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher professional","profession","Higher working",,,"2014 to 2024",7.187,5.491,9.479,357,"Average","3-year moving average","2022 to 2024","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher professional","profession","Intermediate",,,"2014 to 2024",18.402,15.491,21.819,561,"Average","3-year moving average","2014 to 2016","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher professional","profession","Intermediate",,,"2014 to 2024",17.936,15.145,21.132,579,"Average","3-year moving average","2015 to 2017","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher professional","profession","Intermediate",,,"2014 to 2024",17.362,14.618,20.48,561,"Average","3-year moving average","2016 to 2018","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher professional","profession","Intermediate",,,"2014 to 2024",17.388,14.647,20.376,574,"Average","3-year moving average","2017 to 2019","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher professional","profession","Intermediate",,,"2014 to 2024",18.309,15.652,21.4,528,"Average","3-year moving average","2018 to 2020","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher professional","profession","Intermediate",,,"2014 to 2024",17.914,15.354,20.933,545,"Average","3-year moving average","2019 to 2021","Higher professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher professional","profession","Intermediate",,,"2014 to 2024",16.963,14.437,19.887,498,"Average","3-year moving average","2020 to 2022","Higher professional background"
