"Region","Difference compared to average"
"Bedfordshire and Hertfordshire",5.348
"Berkshire, Buckinghamshire and Oxfordshire",3.111
"Cheshire",1.515
"Cornwall and Isles of Scilly",2.511
"Cumbria",-3.12
"Derbyshire and Nottinghamshire",-0.579
"Devon",0.655
"Dorset and Somerset",0.223
"East Anglia",-0.081
"East Wales",-1.748
"East Yorkshire and Northern Lincolnshire",-0.277
"Eastern Scotland",-1.205
"Essex",1.487
"Gloucestershire, Wiltshire and Bath/Bristol area",-2.031
"Greater Manchester",-2.541
"Hampshire and Isle of Wight",4.234
"Herefordshire, Worcestershire and Warwickshire",3.107
"Highlands and Islands",-7.122
"Inner London - East",4.894
"Inner London - West",3.98
"Kent",2.9
"Lancashire",1.339
"Leicestershire, Rutland and Northamptonshire",2.02
"Lincolnshire",-3.952
"Merseyside",-5.541
"North Eastern Scotland",0.436
"North Yorkshire",4.903
"Northern Ireland",-4.746
"Northumberland, and Tyne and Wear",-2.664
"Outer London - East and North East",5.893
"Outer London - South",-1.684
"Outer London - West and North West",6.025
"Shropshire and Staffordshire",2.116
"South Yorkshire",-3.369
"Southern Scotland",-5.537
"Surrey, East and West Sussex",2.049
"Tees Valley and Durham",-3.441
"West Central Scotland",-2.555
"West Midlands",-2.552
"West Wales and The Valleys",-1.439
"West Yorkshire",-2.567
