"Region","Difference compared to average"
"Bedfordshire and Hertfordshire",3.456
"Berkshire, Buckinghamshire and Oxfordshire",2.668
"Cheshire",6.47
"Cornwall and Isles of Scilly",-0.741
"Cumbria",-2.453
"Derbyshire and Nottinghamshire",-3.396
"Devon",-0.87
"Dorset and Somerset",-0.695
"East Anglia",-3.763
"East Wales",-0.059
"East Yorkshire and Northern Lincolnshire",-2.756
"Eastern Scotland",-1.987
"Essex",-0.678
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.58
"Greater Manchester",-4.737
"Hampshire and Isle of Wight",-5.239
"Herefordshire, Worcestershire and Warwickshire",1.618
"Highlands and Islands",-1.836
"Inner London - East",14.456
"Inner London - West",12.581
"Kent",-2.532
"Lancashire",0.49
"Leicestershire, Rutland and Northamptonshire",-0.215
"Lincolnshire",-7.404
"Merseyside",-1.076
"North Eastern Scotland",-2.811
"North Yorkshire",5.196
"Northern Ireland",-2.387
"Northumberland, and Tyne and Wear",-1.643
"Outer London - East and North East",6.182
"Outer London - South",0.118
"Outer London - West and North West",10.797
"Shropshire and Staffordshire",0.914
"South Yorkshire",-4.513
"Southern Scotland",-6.482
"Surrey, East and West Sussex",0.965
"Tees Valley and Durham",-1.025
"West Central Scotland",-6.738
"West Midlands",-0.165
"West Wales and The Valleys",-0.554
"West Yorkshire",1.428
