"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","seb_three_cat"
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Bedfordshire and Hertfordshire","unemp_binary","Unemployed","itl2_current_geo","Bedfordshire and Hertfordshire","quintile",3,,,"2014-2024",13.788,11.92,15.858,1227,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Berkshire, Buckinghamshire and Oxfordshire","unemp_binary","Unemployed","itl2_current_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",2,,,"2014-2024",11.62,10.114,13.338,1582,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Cheshire","unemp_binary","Unemployed","itl2_current_geo","Cheshire","quintile",1,,,"2014-2024",8.747,6.751,11.113,690,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Cornwall and Isles of Scilly","unemp_binary","Unemployed","itl2_current_geo","Cornwall and Isles of Scilly","quintile",2,,,"2014-2024",11.903,9.255,15.232,486,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Cumbria","unemp_binary","Unemployed","itl2_current_geo","Cumbria","quintile",1,,,"2014-2024",11.065,8.228,14.466,419,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Derbyshire and Nottinghamshire","unemp_binary","Unemployed","itl2_current_geo","Derbyshire and Nottinghamshire","quintile",4,,,"2014-2024",15.46,13.735,17.383,1564,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Devon","unemp_binary","Unemployed","itl2_current_geo","Devon","quintile",1,,,"2014-2024",11.223,9.27,13.483,910,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Dorset and Somerset","unemp_binary","Unemployed","itl2_current_geo","Dorset and Somerset","quintile",2,,,"2014-2024",12.386,10.454,14.641,1000,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","East Anglia","unemp_binary","Unemployed","itl2_current_geo","East Anglia","quintile",4,,,"2014-2024",14.289,12.777,15.906,1983,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","East Wales","unemp_binary","Unemployed","itl2_current_geo","East Wales","quintile",4,,,"2014-2024",13.827,11.538,16.487,788,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","East Yorkshire and Northern Lincolnshire","unemp_binary","Unemployed","itl2_current_geo","East Yorkshire and Northern Lincolnshire","quintile",5,,,"2014-2024",19.112,16.254,22.327,675,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Eastern Scotland","unemp_binary","Unemployed","itl2_current_geo","Eastern Scotland","quintile",3,,,"2014-2024",12.61,10.95,14.487,1411,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Essex","unemp_binary","Unemployed","itl2_current_geo","Essex","quintile",1,,,"2014-2024",11.229,9.569,13.191,1226,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","unemp_binary","Unemployed","itl2_current_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",2,,,"2014-2024",12.52,11.097,14.137,1890,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Greater Manchester","unemp_binary","Unemployed","itl2_current_geo","Greater Manchester","quintile",4,,,"2014-2024",16.423,14.759,18.177,1860,"Percent",,
"dr32","Youth unemployment","geography_caterpillar","TLH2","ITL2","Hampshire and Isle of Wight","unemp_binary","Unemployed","itl2_current_geo","Hampshire and Isle of Wight","quintile",2,,,"2014-2024",11.597,9.983,13.4,1407,"Percent",,
