"Region","Percentage (%)"
"Bedfordshire and Hertfordshire",13.788
"Berkshire, Buckinghamshire and Oxfordshire",11.62
"Cheshire",8.747
"Cornwall and Isles of Scilly",11.903
"Cumbria",11.065
"Derbyshire and Nottinghamshire",15.46
"Devon",11.223
"Dorset and Somerset",12.386
"East Anglia",14.289
"East Wales",13.827
"East Yorkshire and Northern Lincolnshire",19.112
"Eastern Scotland",12.61
"Essex",11.229
"Gloucestershire, Wiltshire and Bath/Bristol area",12.52
"Greater Manchester",16.423
"Hampshire and Isle of Wight",11.597
"Herefordshire, Worcestershire and Warwickshire",11.137
"Highlands and Islands",8.671
"Inner London - East",18.562
"Inner London - West",13.208
"Kent",13.531
"Lancashire",11.881
"Leicestershire, Rutland and Northamptonshire",12.943
"Lincolnshire",13.195
"Merseyside",14.807
"North Eastern Scotland",11.462
"North Yorkshire",9.976
"Northern Ireland",10.428
"Northumberland, and Tyne and Wear",17.665
"Outer London - East and North East",19.284
"Outer London - South",17.22
"Outer London - West and North West",19.716
"Shropshire and Staffordshire",13.298
"South Yorkshire",14.237
"Southern Scotland",12.427
"Surrey, East and West Sussex",12.483
"Tees Valley and Durham",17.229
"West Central Scotland",13.08
"West Midlands",20.09
"West Wales and The Valleys",14.039
"West Yorkshire",14.175
