ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,group
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,171,Aberdeen City,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.248990379,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,172,Aberdeenshire,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.636519825,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,173,Angus,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.049661534,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,174,Argyll and Bute Islands,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.170762468,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,16,Barking and Dagenham,2018-2022,Total,Total,Total,Z-score category,Unfavourable,NA,NA,-1.033601305,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,2
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,26,Barnet,2018-2022,Total,Total,Total,Z-score category,Favourable,NA,NA,1.227358831,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,4
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,73,Barnsley,2018-2022,Total,Total,Total,Z-score category,Unfavourable,NA,NA,-1.10799468,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,2
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,137,Bath and North East Somerset,2018-2022,Total,Total,Total,Z-score category,Favourable,NA,NA,1.283912757,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,4
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,112,Bedford,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.88285291,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,14,Bexley,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.454005439,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,99,Birmingham,2018-2022,Total,Total,Total,Z-score category,Unfavourable,NA,NA,-1.436741114,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,2
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,43,Blackburn with Darwen,2018-2022,Total,Total,Total,Z-score category,Least Favourable,NA,NA,-2.011362581,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,1
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,44,Blackpool,2018-2022,Total,Total,Total,Z-score category,Unfavourable,NA,NA,-1.433665931,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,2
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,166,Blaenau Gwent,2018-2022,Total,Total,Total,Z-score category,Unfavourable,NA,NA,-1.47370581,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,2
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,38,Bolton,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.880860143,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,141,"Bournemouth, Christchurch and Poole",2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.58357147,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,118,Bracknell Forest,2018-2022,Total,Total,Total,Z-score category,Favourable,NA,NA,1.097777843,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,4
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,77,Bradford,2018-2022,Total,Total,Total,Z-score category,Unfavourable,NA,NA,-1.488428472,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,2
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,27,Brent,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.242298478,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,161,Bridgend,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.23555426,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,126,Brighton and Hove,2018-2022,Total,Total,Total,Z-score category,Most Favourable,NA,NA,1.71002584,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,5
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,136,"Bristol, City of",2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.926843861,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,21,Bromley,2018-2022,Total,Total,Total,Z-score category,Favourable,NA,NA,1.571952796,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,4
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,117,Buckinghamshire,2018-2022,Total,Total,Total,Z-score category,Favourable,NA,NA,1.505771935,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,4
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,40,Bury,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.400756194,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,165,Caerphilly,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.728050861,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,79,Calderdale,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.287342592,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,110,Cambridgeshire CC,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.909909578,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,1,Camden and City of London,2018-2022,Total,Total,Total,Z-score category,Favourable,NA,NA,1.160410467,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,4
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,170,Cardiff,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,0.674664877,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
CI_childhood_conditions,Conditions of childhood index,SMC georgraphy,158,Carmarthenshire,2018-2022,Total,Total,Total,Z-score category,Middle Group,NA,NA,-0.476677649,NA,NA,NA,NA,Z-score,Groupings are bespoke groups produced by our supplier. They are not quintiles.,3
