Region,Lower working (%),Higher professional (%)
Bedfordshire and Hertfordshire,13.785,14.319
"Berkshire, Buckinghamshire and Oxfordshire",11.721,17.709
Cheshire,14.013,13.533
Cornwall and Isles of Scilly,17.956,9.937
Cumbria,13.535,7.957
Derbyshire and Nottinghamshire,15.969,12.396
Devon,12.001,11.8
Dorset and Somerset,14.851,11.453
East Anglia,15.469,11.281
East Wales,13.547,11.627
East Yorkshire and Northern Lincolnshire,20.41,9.035
Eastern Scotland,18.864,11.832
Essex,11.327,12.878
"Gloucestershire, Wiltshire and Bath/Bristol area",11.134,14.735
Greater Manchester,16.085,12.538
Hampshire and Isle of Wight,12.518,13.239
"Herefordshire, Worcestershire and Warwickshire",13.359,13.034
Highlands and Islands,21.635,5.482
Inner London - East,11.036,23.961
Inner London - West,9.007,29.673
Kent,11.511,9.991
Lancashire,15.897,9.719
"Leicestershire, Rutland and Northamptonshire",14.179,11.983
Lincolnshire,15.476,6.976
Merseyside,12.938,10.993
North Eastern Scotland,20.839,10.496
North Yorkshire,12.252,12.344
Northern Ireland,18.194,12.35
"Northumberland, and Tyne and Wear",17.682,11.026
Outer London - East and North East,11.526,14.819
Outer London - South,11.66,19.927
Outer London - West and North West,12.703,16.305
Shropshire and Staffordshire,17.646,8.918
South Yorkshire,18.879,11.289
Southern Scotland,16.982,5.911
"Surrey, East and West Sussex",12.479,14.36
Tees Valley and Durham,17.61,8.95
West Central Scotland,20.146,12.75
West Midlands,17.239,11.802
West Wales and The Valleys,16.329,7.062
West Yorkshire,17.139,11.163
