Region,Lower working (%),Higher professional %)
Bedfordshire and Hertfordshire,16.279,21.569
"Berkshire, Buckinghamshire and Oxfordshire",13.028,24.202
Cheshire,13.777,24.072
Cornwall and Isles of Scilly,17.527,12.282
Cumbria,16.171,11.601
Derbyshire and Nottinghamshire,19.599,15.099
Devon,15.567,14.842
Dorset and Somerset,14.344,15.573
East Anglia,17.21,15.924
East Wales,19.247,15.213
East Yorkshire and Northern Lincolnshire,24.793,9.886
Eastern Scotland,18.864,17.031
Essex,15.667,16.372
"Gloucestershire, Wiltshire and Bath/Bristol area",14.486,20.826
Greater Manchester,22.57,14.837
Hampshire and Isle of Wight,14.971,19.181
"Herefordshire, Worcestershire and Warwickshire",16.07,18.894
Highlands and Islands,14.952,11.482
Inner London - East,26.193,18.053
Inner London - West,18.971,29.683
Kent,15.414,16.593
Lancashire,21.319,12.306
"Leicestershire, Rutland and Northamptonshire",20.368,15.535
Lincolnshire,20.528,12.484
Merseyside,19.872,15.315
North Eastern Scotland,17.985,18.976
North Yorkshire,13.218,17.219
Northern Ireland,22.995,12.372
"Northumberland, and Tyne and Wear",22.732,12.874
Outer London - East and North East,20.569,15.397
Outer London - South,14.214,24.135
Outer London - West and North West,19.825,21.339
Shropshire and Staffordshire,17.434,14.559
South Yorkshire,23.21,12.72
Southern Scotland,18.207,11.24
"Surrey, East and West Sussex",11.779,22.434
Tees Valley and Durham,23.103,9.658
West Central Scotland,22.901,14.836
West Midlands,28.599,11.722
West Wales and The Valleys,21.436,9.743
West Yorkshire,24.132,14.56
